"time,FuelCons"
"23.38575,11358"
"23.40575,11362"
"23.42575,11365"
"23.44575,11369"
"23.46575,11372"
"23.48575,11376"
"23.50575,11379"
"23.52575,11383"
"23.54575,11386"
"23.56575,11390"
"23.58575,11393"
"23.60575,11397"
"23.62575,11400"
"23.64575,11404"
"23.66575,11407"
"23.68575,11411"
"23.70575,11414"
"23.72575,11417"
"23.74575,11421"
"23.76575,11424"
"23.78575,11428"
"23.80575,11431"
"23.82575,11435"
"23.84475,11438"
"23.86475,11442"
"23.88575,11446"
"23.90475,11449"
"23.92475,11453"
"23.94475,11456"
"23.96475,11460"
"23.98575,11463"
"24.00475,11467"
"24.02475,11471"
"24.04475,11474"
"24.06475,11478"
"24.08575,11482"
"24.10475,11485"
"24.12475,11489"
"24.14475,11492"
"24.16475,11496"
"24.18575,11500"
"24.20475,11503"
"24.22475,11507"
"24.24475,11510"
"24.26475,11514"
"24.28475,11518"
"24.30475,11521"
"24.32475,11525"
"24.34475,11529"
"24.36475,11532"
"24.38475,11536"
"24.40475,11539"
"24.42475,11543"
"24.44475,11547"
"24.46475,11550"
"24.48475,11554"
"24.50475,11557"
"24.52475,11561"
"24.54475,11565"
"24.56475,11568"
"24.58475,11572"
"24.60475,11575"
"24.62475,11579"
"24.64475,11583"
"24.66475,11586"
"24.68475,11590"
"24.70475,11593"
"24.72475,11597"
"24.74475,11600"
"24.76475,11604"
"24.78475,11607"
"24.80475,11611"
"24.82475,11615"
"24.84475,11618"
"24.86475,11622"
"24.88475,11625"
"24.90475,11629"
"24.92475,11633"
"24.94475,11636"
"24.96475,11640"
"24.98475,11644"
"25.00475,11647"
"25.02475,11651"
"25.04475,11654"
"25.06475,11658"
"25.08475,11662"
"25.10475,11665"
"25.12475,11669"
"25.14475,11672"
"25.16475,11676"
"25.18475,11680"
"25.20475,11683"
"25.22475,11687"
"25.24475,11690"
"25.26475,11694"
"25.28475,11698"
"25.30475,11701"
"25.32475,11705"
"25.34475,11708"
"25.36375,11712"
"25.38475,11715"
"25.40375,11719"
"25.42375,11723"
"25.44375,11726"
"25.46375,11730"
"25.48375,11733"
"25.50375,11737"
"25.52375,11740"
"25.54375,11744"
"25.56375,11747"
"25.58375,11751"
"25.60375,11755"
"25.62375,11758"
"25.64375,11762"
"25.66375,11765"
"25.68375,11769"
"25.70375,11772"
"25.72375,11776"
"25.74375,11780"
"25.76375,11783"
"25.78375,11787"
"25.80375,11790"
"25.82375,11794"
"25.84375,11797"
"25.86375,11801"
"25.88375,11804"
"25.90375,11808"
"25.92375,11811"
"25.94375,11815"
"25.96375,11818"
"25.98375,11822"
"26.00375,11825"
"26.02375,11831"
"26.04375,11837"
"26.06375,11844"
"26.08375,11851"
"26.10375,11857"
"26.12375,11863"
"26.14375,11869"
"26.16375,11874"
"26.18375,11880"
"26.20375,11886"
"26.22375,11893"
"26.24375,11900"
"26.26375,11907"
"26.28375,11917"
"26.30375,11926"
"26.32375,11936"
"26.34375,11948"
"26.36375,11960"
"26.38375,11972"
"26.40375,11986"
"26.42375,12001"
"26.44375,12015"
"26.46375,12030"
"26.48375,12045"
"26.50375,12061"
"26.52375,12076"
"26.54375,12093"
"26.56375,12110"
