"time,AccPedal"
"14.19166,20.4"
"14.21166,20.8"
"14.23166,21.2"
"14.25166,21.6"
"14.27166,22.4"
"14.29166,22.8"
"14.31166,23.2"
"14.33166,23.6"
"14.35166,24"
"14.37166,24.4"
"14.39166,24.4"
"14.41166,24.8"
"14.43166,24.8"
"14.45166,24.8"
"14.47166,25.6"
"14.49166,26"
"14.51166,26.4"
"14.53166,27.2"
"14.55166,27.6"
"14.57166,28"
"14.59166,28"
"14.61166,28.4"
"14.63166,28.4"
"14.65166,28.8"
"14.67166,29.2"
"14.69166,29.6"
"14.71166,30"
"14.73166,30.4"
"14.75166,30.8"
"14.77166,31.6"
"14.79166,32"
"14.81066,32.8"
"14.83066,33.2"
"14.85066,33.6"
"14.87066,34"
"14.89066,34.8"
"14.91066,35.2"
"14.93066,36"
"14.95066,36.4"
"14.97066,36.8"
"14.99066,37.2"
"15.01166,37.6"
"15.03066,38.4"
"15.05066,38.4"
"15.07066,39.2"
"15.09166,40"
"15.11166,40.8"
"15.13066,41.2"
"15.15066,42"
"15.17066,42.4"
"15.19066,42.8"
"15.21066,43.2"
"15.23066,43.6"
"15.25066,43.6"
"15.27066,44"
"15.29066,44.4"
"15.31066,44.4"
"15.33066,44.8"
"15.35066,45.2"
"15.37066,46"
"15.39066,46.4"
"15.41066,46.8"
"15.43066,47.2"
"15.45066,47.2"
"15.47066,47.6"
"15.49066,48"
"15.51066,48"
"15.53066,48.4"
"15.55066,48.4"
"15.57066,48.8"
"15.59066,48.8"
"15.61066,48.8"
"15.63066,49.2"
"15.65066,49.2"
"15.67066,49.6"
"15.69066,49.6"
"15.71066,50"
"15.73066,50.4"
"15.75066,50.8"
"15.77066,51.2"
"15.79066,51.6"
"15.81066,52"
"15.83066,52.4"
"15.85066,53.2"
"15.87066,53.2"
"15.89066,53.6"
"15.91066,53.6"
"15.93066,53.6"
"15.95066,53.6"
"15.97066,54"
"15.99066,54"
"16.01066,54"
"16.03066,54"
"16.05066,54"
"16.07066,54"
"16.09066,54"
"16.11066,54"
"16.13066,54"
"16.15066,54"
"16.17066,54"
"16.19066,54"
"16.21066,54"
"16.23066,54"
"16.25066,54"
"16.27066,54"
"16.28966,54"
"16.30966,54"
"16.32966,54"
"16.34966,54"
"16.36966,54"
"16.38966,54"
"16.40966,54"
"16.42966,54"
"16.44966,54"
"16.46966,54"
"16.48966,54"
"16.50966,54"
"16.52966,54"
"16.54966,54"
"16.56966,54"
"16.58966,54"
"16.60966,54"
"16.62966,54"
"16.64966,54"
"16.66966,53.6"
"16.68966,53.6"
"16.70966,53.2"
"16.72966,53.2"
"16.74966,53.2"
"16.76966,53.2"
"16.78966,53.2"
"16.80966,53.2"
"16.82966,53.2"
"16.84966,53.2"
"16.86966,53.2"
"16.88966,53.2"
"16.90966,53.2"
"16.92966,53.2"
"16.94966,53.2"
"16.96966,53.2"
"16.98966,53.2"
"17.00966,53.2"
"17.02966,53.2"
"17.04966,53.2"
"17.06966,53.2"
"17.08966,53.2"
"17.10966,53.2"
"17.12966,53.2"
"17.14966,53.2"
"17.16966,53.2"
"17.18966,53.2"
"17.20966,53.2"
"17.22966,53.2"
"17.24966,53.2"
"17.26966,53.2"
"17.28966,53.2"
"17.30966,53.2"
"17.32966,53.2"
"17.34966,53.2"
"17.36966,53.2"
"17.38966,53.2"
"17.40966,53.2"
"17.42966,53.2"
"17.44966,53.2"
"17.46966,53.2"
"17.48966,53.2"
"17.50966,53.2"
"17.52966,53.2"
"17.54966,53.2"
"17.56966,53.2"
"17.58966,53.2"
"17.60966,53.2"
"17.62966,53.2"
"17.64966,53.2"
"17.66966,53.2"
"17.68966,53.2"
"17.70966,53.2"
"17.72966,53.2"
"17.74966,53.2"
"17.76966,53.2"
"17.78966,53.2"
"17.80866,53.2"
"17.82866,53.2"
"17.84866,53.2"
"17.86866,52.8"
"17.88966,52.8"
"17.90866,52"
"17.92866,51.6"
"17.94866,51.6"
"17.96866,51.2"
"17.98966,50.8"
"18.00866,50.4"
"18.02866,50"
"18.04866,49.6"
