"time,SpeedCom"
"17.96066,32.24"
"17.98066,32.26"
"18.00066,32.26"
"18.02066,32.33"
"18.04166,32.31"
"18.06066,32.56"
"18.08066,32.45"
"18.10166,32.45"
"18.12066,32.58"
"18.14166,32.49"
"18.16066,32.58"
"18.18066,32.58"
"18.20166,32.58"
"18.22066,32.51"
"18.24166,32.65"
"18.26166,32.8"
"18.28166,32.72"
"18.30166,32.72"
"18.32166,32.93"
"18.34166,32.76"
"18.36166,32.69"
"18.38166,32.77"
"18.40166,32.77"
"18.42166,32.79"
"18.44166,32.76"
"18.46066,32.91"
"18.48166,32.95"
"18.50166,32.95"
"18.52066,32.9"
"18.54066,32.97"
"18.56066,32.95"
"18.58066,32.93"
"18.60166,32.93"
"18.62066,32.88"
"18.64166,32.9"
"18.66066,33.05"
"18.68166,33.2"
"18.70166,33.15"
"18.72066,33.15"
"18.74166,33.07"
"18.76066,33.07"
"18.78066,33.18"
"18.80166,33.18"
"18.82066,33.14"
"18.84166,33.14"
"18.86066,33.13"
"18.88166,33.2"
"18.90166,33.2"
"18.92166,33.28"
"18.94166,33.2"
"18.96166,33.18"
"18.98166,33.09"
"19.00166,33.09"
"19.02066,33.09"
"19.04166,33.01"
"19.06166,33.05"
"19.08166,33.16"
"19.10166,33.14"
"19.12066,33.14"
"19.14166,33.18"
"19.16166,33.25"
"19.18066,33.28"
"19.20166,33.28"
"19.22166,33.15"
"19.24166,33.18"
"19.26066,33.28"
"19.28066,33.25"
"19.30166,33.29"
"19.32066,33.29"
"19.34166,33.32"
"19.36066,33.21"
"19.38066,33.27"
"19.40166,33.2"
"19.42066,33.2"
"19.44166,33.21"
"19.46066,32.98"
"19.48066,32.98"
"19.50166,32.98"
"19.52066,33.13"
"19.54166,33.11"
"19.56066,33.14"
"19.58166,33.15"
"19.60166,33.15"
"19.62066,33.22"
"19.64166,33.11"
"19.66066,33.14"
"19.68166,33.2"
"19.70166,33.2"
"19.72166,33.2"
"19.74166,33.25"
"19.76166,33.21"
"19.78066,33.16"
"19.80166,33.21"
"19.82166,33.21"
"19.84166,33.28"
"19.86166,33.21"
"19.88166,33.25"
"19.90166,33.23"
"19.92066,33.23"
"19.94166,33.28"
"19.96166,33.29"
"19.98166,33.16"
"20.00166,33.16"
"20.02066,33.29"
"20.04166,33.18"
"20.06066,33.18"
"20.08066,33.07"
"20.10166,33.07"
"20.12066,33.14"
"20.14166,33.2"
"20.16066,33.32"
"20.18066,33.41"
"20.20166,33.21"
"20.22066,33.21"
"20.24166,33.23"
"20.26066,33.13"
"20.28066,33.2"
"20.30166,33.13"
"20.32066,33.13"
"20.34166,33.15"
"20.36066,33.25"
"20.38166,33.32"
"20.40166,33.22"
"20.42166,33.22"
"20.44166,33.18"
"20.46066,33.04"
"20.48166,33.02"
"20.50066,33.02"
"20.52066,32.93"
"20.54166,32.93"
"20.56066,32.95"
"20.58066,33.04"
"20.60166,32.97"
"20.62066,32.97"
"20.64166,33.18"
"20.66166,33.07"
"20.68066,33.04"
"20.70266,32.98"
"20.72066,32.98"
"20.74166,32.9"
"20.76066,32.97"
"20.78166,32.88"
"20.80066,32.88"
"20.82066,32.95"
"20.84166,32.95"
"20.86066,32.9"
"20.88066,32.76"
"20.90166,32.77"
"20.92066,32.77"
"20.94166,32.76"
"20.96066,32.76"
"20.98066,32.76"
"21.00066,32.76"
"21.02066,32.88"
"21.04166,32.86"
"21.06066,32.81"
"21.08166,32.76"
"21.10166,32.77"
"21.12066,32.77"
"21.14166,32.83"
"21.16066,32.69"
"21.18066,32.79"
"21.20166,32.67"
"21.22066,32.67"
"21.24166,32.72"
"21.26066,32.69"
"21.28066,32.69"
"21.30166,32.69"
"21.32166,32.66"
"21.34166,32.63"
"21.36066,32.55"
"21.38066,32.51"
"21.40166,32.42"
"21.42066,32.42"
"21.44166,32.41"
"21.46166,32.35"
"21.48166,32.38"
"21.50166,32.38"
"21.52166,32.33"
"21.54166,32.27"
"21.56066,32.26"
"21.58166,32.23"
"21.60166,32.23"
"21.62066,32.19"
"21.64166,32.24"
"21.66066,32.24"
"21.68066,32.24"
"21.70066,32.24"
"21.72066,32.2"
"21.74166,32.21"
"21.76066,32.19"
"21.78066,32.03"
"21.80166,32.1"
"21.82066,32.1"
"21.84166,32.13"
"21.86066,32.05"
"21.88066,32.05"
"21.90066,32.05"
"21.92066,31.98"
"21.94166,31.92"
"21.96066,31.91"
"21.98166,31.88"
"22.00166,31.88"
"22.02066,31.85"
"22.04166,31.8"
"22.06066,31.82"
"22.08166,31.79"
"22.10166,31.79"
"22.12066,31.82"
"22.14166,31.85"
"22.16166,31.75"
"22.18066,31.75"
"22.20166,31.75"
"22.22166,31.77"
"22.24166,31.68"
"22.26166,31.78"
"22.28166,31.82"
"22.30166,31.78"
"22.32166,31.78"
"22.34166,31.72"
"22.36066,31.66"
"22.38166,31.66"
"22.40166,31.66"
"22.42066,31.61"
"22.44166,31.58"
"22.46066,31.36"
"22.48066,31.08"
"22.50166,31.08"
"22.52066,30.99"
"22.54166,31.23"
"22.56066,30.91"
"22.58066,31.05"
"22.60166,30.74"
"22.62066,30.74"
"22.64166,30.71"
"22.66066,30.64"
"22.68166,30.45"
"22.70166,30.35"
"22.72066,30.35"
"22.74166,30.38"
"22.76066,30.11"
"22.78066,29.98"
"22.80066,29.98"
"22.82066,30.07"
"22.84166,29.97"
"22.86066,29.69"
"22.88166,29.65"
"22.90166,29.65"
"22.92066,29.46"
"22.94166,29.41"
"22.96166,29.19"
"22.98166,29.05"
"23.00166,29.05"
"23.02166,28.96"
"23.04166,28.91"
"23.06166,28.66"
"23.08166,28.72"
"23.10166,28.72"
"23.12066,28.45"
"23.14166,28.29"
"23.16066,28.15"
"23.18166,28.05"
"23.20166,28.03"
"23.22066,28.03"
"23.24166,27.98"
"23.26066,27.62"
"23.28066,27.7"
"23.30166,27.63"
"23.32066,27.63"
"23.34166,27.48"
"23.36166,27.28"
"23.38166,27.21"
"23.40266,27.08"
"23.42066,27.08"
"23.44166,27.13"
"23.46066,26.84"
"23.48066,26.76"
"23.50166,26.76"
"23.52066,26.59"
"23.54166,26.51"
"23.56066,26.33"
"23.58166,26.28"
"23.60166,26.28"
"23.62066,26.2"
"23.64166,26.1"
"23.66166,26.07"
"23.68166,25.96"
"23.70166,25.96"
"23.72166,25.78"
"23.74166,25.78"
"23.76166,25.55"
"23.78166,25.47"
"23.80166,25.47"
"23.82166,25.4"
"23.84166,25.27"
"23.86066,25.09"
"23.88166,24.94"
"23.90166,24.89"
"23.92066,24.89"
"23.94166,24.8"
"23.96066,24.63"
"23.98066,24.55"
"24.00166,24.55"
"24.02066,24.41"
"24.04066,24.34"
"24.06066,23.98"
"24.08066,24.01"
"24.10166,23.8"
"24.12066,23.8"
"24.14166,23.72"
"24.16066,23.48"
"24.18066,23.51"
"24.20166,23.38"
"24.22166,23.38"
"24.24166,23.28"
"24.26166,23.14"
"24.28166,23.07"
"24.30166,22.86"
"24.32166,22.86"
"24.34166,22.75"
"24.36166,22.5"
"24.38166,22.4"
"24.40166,22.27"
"24.42166,22.27"
"24.44166,22.16"
"24.46166,22.05"
"24.48066,21.92"
"24.50166,21.82"
"24.52166,21.82"
"24.54166,21.8"
"24.56166,21.6"
"24.58166,21.52"
"24.60166,21.41"
"24.62066,21.41"
"24.64166,21.14"
"24.66066,21.02"
"24.68166,20.87"
"24.70166,20.53"
"24.72066,20.53"
"24.74166,20.62"
"24.76066,20.27"
"24.78166,20.17"
"24.80166,20.05"
"24.82066,20.05"
"24.84166,19.93"
"24.86166,19.71"
"24.88166,19.52"
"24.90166,19.37"
"24.92066,19.37"
"24.94166,19.22"
"24.96166,18.84"
"24.98166,18.59"
"25.00166,18.59"
"25.02066,18.59"
"25.04166,18.34"
"25.06066,18.14"
"25.08166,17.77"
"25.10166,17.69"
"25.12066,17.69"
"25.14166,17.55"
"25.16066,17.16"
"25.18066,16.96"
"25.20166,16.86"
"25.22066,16.86"
"25.24166,16.72"
"25.26166,16.26"
"25.28166,16.16"
"25.30166,15.84"
"25.32066,15.84"
"25.34166,15.8"
