"time,DegOfDev"
"20.25875,3.32"
"20.27875,3.36"
"20.29875,3.36"
"20.31875,3.5"
"20.33875,3.72"
"20.35875,3.87"
"20.37875,4"
"20.39875,3.97"
"20.41875,4.06"
"20.43875,4.18"
"20.45875,4.22"
"20.47875,4.29"
"20.49875,4.34"
"20.51875,4.3"
"20.53875,4.45"
"20.55875,4.66"
"20.57875,4.81"
"20.59875,5.01"
"20.61875,5.23"
"20.63875,5.45"
"20.65875,5.69"
"20.67875,6.01"
"20.69875,6.3"
"20.71875,6.47"
"20.73875,6.77"
"20.75875,7.14"
"20.77875,7.38"
"20.79875,7.62"
"20.81875,7.76"
"20.83875,8.03"
"20.85875,8.28"
"20.87875,8.49"
"20.89875,8.7"
"20.91875,8.85"
"20.93875,9.08"
"20.95875,9.35"
"20.97875,9.58"
"20.99875,9.83"
"21.01875,10.12"
"21.03875,10.42"
"21.05875,10.71"
"21.07875,10.91"
"21.09875,11.13"
"21.11875,11.45"
"21.13875,11.68"
"21.15875,11.78"
"21.17875,11.95"
"21.19875,12.37"
"21.21875,12.59"
"21.23875,12.84"
"21.25875,13.15"
"21.27875,13.3"
"21.29875,13.43"
"21.31875,13.59"
"21.33875,13.74"
"21.35875,13.79"
"21.37875,13.86"
"21.39875,13.96"
"21.41875,14.06"
"21.43875,14.17"
"21.45875,14.27"
"21.47875,14.3"
"21.49875,14.27"
"21.51875,14.3"
"21.53875,14.35"
"21.55875,14.45"
"21.57875,14.41"
"21.59875,14.45"
"21.61875,14.6"
"21.63875,14.77"
"21.65875,14.94"
"21.67875,15.14"
"21.69875,15.27"
"21.71875,15.29"
"21.73875,15.34"
"21.75875,15.4"
"21.77875,15.32"
"21.79875,15.31"
"21.81875,15.25"
"21.83875,15.17"
"21.85875,15.16"
"21.87875,15.14"
"21.89875,15.03"
"21.91875,14.92"
"21.93875,14.97"
"21.95875,14.91"
"21.97875,14.79"
"21.99875,14.7"
"22.01875,14.73"
"22.03875,14.74"
"22.05875,14.77"
"22.07875,14.83"
"22.09875,14.95"
"22.11875,14.97"
"22.13875,14.97"
"22.15875,14.97"
"22.17875,15.04"
"22.19875,15.04"
"22.21875,15.01"
"22.23875,14.97"
"22.25875,14.91"
"22.27875,14.82"
"22.29875,14.77"
"22.31875,14.81"
"22.33875,14.81"
"22.35875,14.9"
"22.37875,14.97"
"22.39875,14.96"
"22.41875,14.84"
"22.43875,14.86"
"22.45875,14.79"
"22.47875,14.65"
"22.49875,14.54"
"22.51875,14.6"
"22.53875,14.42"
"22.55875,14.11"
"22.57875,13.98"
"22.59875,13.96"
"22.61875,13.94"
"22.63875,13.9"
"22.65875,13.96"
"22.67875,13.96"
"22.69875,14.03"
"22.71875,14.25"
"22.73875,14.3"
"22.75875,14.39"
"22.77875,14.47"
"22.79875,14.61"
"22.81875,14.77"
"22.83875,14.82"
"22.85875,14.99"
"22.87875,15.21"
"22.89875,15.38"
"22.91875,15.57"
"22.93875,15.68"
"22.95875,15.81"
"22.97875,15.81"
"22.99875,15.89"
"23.01875,16.1"
"23.03875,16.14"
"23.05875,16.17"
"23.07875,16.16"
"23.09875,16.15"
"23.11875,16.15"
"23.13875,16.08"
"23.15875,15.88"
"23.17875,15.87"
"23.19875,15.82"
"23.21875,15.75"
"23.23875,15.76"
"23.25875,15.68"
"23.27875,15.71"
"23.29875,15.77"
"23.31875,15.81"
"23.33875,15.81"
"23.35875,15.81"
"23.37875,15.83"
"23.39875,15.84"
"23.41875,15.81"
"23.43875,15.83"
"23.45875,15.8"
"23.47875,15.68"
"23.49875,15.66"
"23.51875,15.52"
"23.53875,15.48"
"23.55875,15.47"
"23.57875,15.4"
"23.59875,15.3"
"23.61875,15.18"
"23.63875,15.14"
"23.65875,15.08"
"23.67875,15.02"
"23.69875,15.19"
"23.71875,15.21"
"23.73875,15.16"
"23.75875,15.12"
"23.77875,15.14"
"23.79875,15.14"
"23.81875,15.15"
"23.83875,15.14"
"23.85875,15.14"
"23.87875,15.16"
"23.89875,15.22"
"23.91875,15.3"
"23.93875,15.29"
"23.95875,15.31"
"23.97875,15.31"
"23.99875,15.33"
"24.01875,15.45"
"24.03875,15.58"
"24.05875,15.81"
"24.07875,16.08"
"24.09875,16.23"
"24.11875,16.3"
"24.13875,16.48"
"24.15875,16.61"
"24.17875,16.66"
"24.19875,16.76"
"24.21875,16.83"
"24.23875,16.95"
"24.25875,17.1"
"24.27875,17.27"
"24.29875,17.32"
"24.31875,17.44"
"24.33875,17.5"
"24.35875,17.5"
"24.37875,17.5"
"24.39875,17.5"
"24.41875,17.49"
"24.43875,17.62"
"24.45875,17.54"
"24.47875,17.46"
"24.49875,17.34"
"24.51875,17.15"
"24.53875,17"
"24.55875,16.89"
"24.57875,16.78"
"24.59875,16.78"
"24.61875,16.68"
"24.63875,16.66"
"24.65875,16.6"
"24.67875,16.34"
"24.69875,16.17"
"24.71875,16.2"
"24.73875,16.17"
"24.75875,16.15"
