time,DegOfDev
16.15881,15.34
16.17881,15.32
16.19881,15.19
16.21981,15.21
16.23881,15.18
16.25881,15.19
16.27881,15.2
16.29881,15.21
16.31981,15.25
16.33881,15.13
16.35881,14.99
16.37881,14.93
16.39881,14.84
16.41981,14.76
16.43881,14.67
16.45881,14.67
16.47881,14.71
16.49881,14.82
16.51981,14.83
16.53981,14.82
16.55981,14.83
16.57981,14.83
16.59981,14.83
16.61981,14.71
16.63981,14.52
16.65981,14.5
16.67981,14.45
16.69981,14.41
16.71981,14.34
16.73981,14.47
16.75981,14.53
16.77981,14.51
16.79981,14.48
16.81981,14.42
16.83981,14.34
16.85981,14.29
16.87981,14.16
16.89981,14.16
16.91981,14.16
16.93981,14.08
16.95981,13.87
16.97981,13.9
16.99981,13.98
17.01981,14.06
17.03981,13.99
17.05981,13.91
17.07981,13.98
17.09981,13.99
17.11981,13.86
17.13981,13.82
17.15981,13.82
17.17981,13.82
17.19981,13.74
17.21981,13.66
17.23981,13.74
17.25881,13.85
17.27881,13.88
17.29881,13.83
17.31981,13.82
17.33881,13.82
17.35881,13.79
17.37881,13.76
17.39881,13.82
17.41981,13.82
17.43881,13.66
17.45881,13.54
17.47881,13.49
17.49881,13.49
17.51981,13.43
17.53881,13.5
17.55881,13.62
17.57881,13.65
17.59881,13.65
17.61981,13.59
17.63881,13.5
17.65881,13.57
17.67881,13.48
17.69881,13.35
17.71981,13.31
17.73881,13.21
17.75881,13.14
17.77881,13.15
17.79881,13.09
17.81981,13.11
17.83881,13.15
17.85881,13.18
17.87881,13.35
17.89881,13.45
17.91981,13.57
17.93881,13.73
17.95881,13.89
17.97881,14.11
17.99881,14.31
18.01981,14.57
18.03881,14.76
18.05881,14.87
18.07881,15.06
18.09881,15.16
18.11981,15.29
18.13881,15.47
18.15881,15.62
18.17881,15.71
18.19881,15.83
18.21981,15.79
18.23881,15.84
18.25881,15.87
18.27881,15.93
18.29881,16
18.31981,16.09
18.33881,16.16
18.35881,16.28
18.37881,16.36
18.39881,16.4
18.41981,16.51
18.43881,16.64
18.45881,16.69
18.47881,16.89
18.49881,17
18.51981,17.15
18.53881,17.21
18.55881,17.36
18.57881,17.53
18.59881,17.76
18.61881,17.92
18.63881,18.12
18.65881,18.31
18.67881,18.47
18.69881,18.66
18.71881,18.9
18.73881,19.14
18.75881,19.37
18.77881,19.67
18.79881,20
18.81881,20.2
18.83881,20.3
18.85881,20.38
18.87881,20.4
18.89881,20.26
18.91881,20.23
18.93881,20.22
18.95881,20.22
18.97881,20.09
18.99881,19.97
19.01881,19.76
19.03881,19.68
19.05881,19.47
19.07881,19.39
19.09881,19.25
19.11881,19.15
19.13881,19.04
19.15881,18.86
19.17881,18.73
19.19881,18.66
19.21881,18.55
19.23881,18.41
19.25881,18.31
19.27881,18.15
19.29881,17.83
19.31881,17.67
19.33881,17.44
19.35881,17.16
19.37881,16.96
19.39881,16.81
19.41881,16.48
19.43881,16.13
19.45881,15.9
19.47881,15.64
19.49881,15.29
19.51881,15
19.53881,14.58
19.55881,14.25
19.57881,13.9
19.59881,13.71
19.61881,13.58
19.63881,13.45
19.65881,13.23
19.67881,12.99
19.69881,12.78
19.71881,12.47
19.73881,12.11
19.75881,11.78
19.77881,11.52
19.79881,11.46
19.81881,11.23
19.83881,11.1
19.85881,10.98
19.87881,10.82
19.89881,10.54
19.91881,10.29
19.93881,10.13
19.95881,9.88
19.97881,9.66
19.99881,9.51
20.01881,9.38
20.03881,9.28
20.05881,9.28
20.07881,9.25
20.09881,9.1
20.11881,9.06
20.13881,8.96
20.15881,8.81
20.17881,8.76
20.19881,8.64
20.21881,8.55
20.23881,8.44
20.25881,8.4
20.27881,8.43
20.29881,8.35
20.31881,8.2
20.33881,8.08
20.35881,7.99
20.37881,7.77
20.39881,7.61
20.41981,7.43
20.43881,7.27
20.45881,7.01
20.47881,6.79
20.49881,6.72
20.51881,6.48
20.53881,6.37
20.55881,6.17
20.57881,5.99
20.59881,5.78
20.61981,5.52
20.63881,5.39
20.65881,5.25
20.67881,5.16
20.69881,5.01
20.71881,4.9
20.73881,4.71
20.75881,4.49
20.77881,4.36
20.79881,4.21
20.81881,4.14
20.83881,4.08
20.85881,4.05
20.87881,3.91
20.89881,3.74
20.91881,3.56
20.93881,3.41
20.95881,3.27
20.97881,3.18
20.99881,3.04
21.01881,3.05
21.03881,2.97
21.05881,2.88
21.07881,2.83
21.09881,2.73
21.11881,2.76
21.13881,2.71
21.15881,2.7
21.17881,2.56
21.19881,2.52
21.21881,2.41
21.23881,2.29
21.25881,2.19
21.27881,2.19
21.29881,2.19
