time,AccPed2D
331.9997,99.9855
332.0197,19.2129
332.0397,94.8882
332.0597,0
332.0797,99.9855
332.0997,99.9855
332.1197,99.9855
332.1397,99.9855
332.1597,99.9855
332.1797,99.9855
332.1997,99.9855
332.2197,99.9855
332.2397,99.9855
332.2597,99.9855
332.2797,99.9855
332.2997,99.9855
332.3197,99.9855
332.3397,94.8882
332.3597,38.4258
332.3797,0
332.3997,0
332.4197,99.9855
332.4397,99.9855
332.4597,99.9855
332.4797,99.9855
332.4997,99.9855
332.5197,99.9855
332.5397,99.9855
332.5597,99.9855
332.5797,99.9855
332.5997,99.9855
332.6197,99.9855
332.6397,19.2129
332.6597,94.8882
332.6797,94.8882
332.6997,38.4258
332.7187,0
332.7387,99.9855
332.7587,99.9855
332.7787,99.9855
332.7987,99.9855
332.8187,99.9855
332.8387,99.9855
332.8587,99.9855
332.8787,99.9855
332.8987,99.9855
332.9187,99.9855
332.9387,99.9855
332.9587,19.605
332.9787,19.605
332.9987,94.8882
333.0187,38.4258
333.0387,99.9855
333.0587,99.9855
333.0787,99.9855
333.0987,99.9855
333.1187,99.9855
333.1387,99.9855
333.1587,99.9855
333.1787,99.9855
333.1987,99.9855
333.2187,99.9855
333.2387,99.9855
333.2587,99.9855
333.2787,99.9855
333.2987,29.7996
333.3187,38.4258
333.3387,0
333.3587,0
333.3787,99.9855
333.3987,99.9855
333.4187,99.9855
333.4387,99.9855
333.4587,99.9855
333.4787,99.9855
333.4987,99.9855
333.5187,99.9855
333.5387,99.9855
333.5587,99.9855
333.5787,99.9855
333.5987,99.9855
333.6187,94.8882
333.6387,94.8882
333.6587,38.4258
333.6787,99.9855
333.6987,99.9855
333.7187,99.9855
333.7387,99.9855
333.7587,99.9855
333.7787,99.9855
333.7987,99.9855
333.8187,99.9855
333.8387,99.9855
333.8587,99.9855
333.8787,99.9855
333.8987,99.9855
333.9187,99.9855
333.9387,57.2466
333.9587,94.8882
333.9787,0
333.9987,0
334.0187,99.9855
334.0387,99.9855
334.0587,99.9855
334.0787,99.9855
334.0987,99.9855
334.1187,99.9855
334.1387,99.9855
334.1587,99.9855
334.1787,99.9855
334.1977,99.9855
334.2177,99.9855
334.2377,60.7755
334.2577,60.7755
334.2777,38.4258
334.2977,38.4258
334.3177,99.9855
334.3377,99.9855
334.3577,99.9855
334.3777,99.9855
334.3977,99.9855
334.4177,99.9855
334.4377,99.9855
334.4577,99.9855
334.4777,99.9855
334.4977,99.9855
334.5177,99.9855
334.5377,99.9855
334.5577,99.9855
334.5777,54.5019
334.5977,38.4258
334.6177,38.4258
334.6377,99.9855
334.6577,99.9855
334.6777,99.9855
334.6977,99.9855
334.7177,99.9855
334.7377,99.9855
334.7577,99.9855
334.7777,99.9855
334.7977,99.9855
334.8177,99.9855
334.8377,99.9855
334.8577,99.9855
334.8777,99.9855
334.8977,51.3651
334.9177,94.8882
334.9377,38.4258
334.9577,0
334.9777,99.9855
334.9977,99.9855
335.0177,99.9855
335.0377,99.9855
335.0577,99.9855
335.0777,99.9855
335.0977,99.9855
335.1177,99.9855
335.1377,99.9855
335.1577,99.9855
335.1777,99.9855
335.1977,99.9855
335.2177,94.8882
335.2377,94.8882
335.2577,38.4258
335.2777,0
335.2977,99.9855
335.3177,99.9855
335.3377,99.9855
335.3577,99.9855
335.3777,99.9855
335.3977,99.9855
335.4177,99.9855
335.4377,99.9855
335.4577,99.9855
335.4777,99.9855
335.4977,99.9855
335.5177,99.9855
335.5377,67.4412
335.5577,38.4258
335.5777,38.4258
335.5977,0
335.6177,99.9855
335.6377,99.9855
335.6577,99.9855
335.6777,99.9855
335.6977,99.9855
335.7177,99.9855
335.7377,99.9855
335.7577,99.9855
335.7767,99.9855
335.7977,99.9855
335.8167,99.9855
335.8367,99.9855
335.8567,47.052
335.8767,94.8882
335.8967,38.4258
335.9167,0
335.9367,99.9855
335.9567,99.9855
335.9767,99.9855
335.9967,99.9855
336.0167,99.9855
336.0367,99.9855
336.0567,99.9855
336.0767,99.9855
336.0967,99.9855
336.1167,99.9855
336.1367,99.9855
336.1567,99.9855
336.1767,94.8882
336.1967,94.8882
336.2167,38.4258
336.2367,0
336.2567,99.9855
336.2767,99.9855
336.2967,99.9855
336.3167,99.9855
336.3367,99.9855
336.3567,99.9855
336.3767,99.9855
336.3967,99.9855
336.4167,99.9855
336.4367,99.9855
336.4567,99.9855
336.4767,99.9855
336.4967,6.2736
336.5167,38.4258
336.5367,0
336.5567,0
336.5767,99.9855
336.5967,99.9855
336.6167,99.9855
336.6367,99.9855
336.6567,99.9855
336.6767,99.9855
336.6967,99.9855
336.7167,99.9855
336.7367,99.9855
336.7567,99.9855
336.7767,99.9855
336.7967,34.8969
336.8167,34.8969
336.8367,94.8882
336.8567,0
336.8767,99.9855
336.8967,99.9855
336.9167,99.9855
336.9367,99.9855
336.9567,99.9855
336.9767,99.9855
336.9967,99.9855
337.0167,99.9855
337.0367,99.9855
337.0567,99.9855
337.0767,99.9855
337.0967,99.9855
337.1167,99.9855
337.1367,94.8882
337.1567,94.8882
337.1767,38.4258
337.1967,99.9855
337.2157,99.9855
337.2357,99.9855
337.2557,99.9855
337.2757,99.9855
337.2957,99.9855
337.3157,99.9855
337.3357,99.9855
337.3557,99.9855
337.3757,99.9855
337.3957,99.9855
337.4157,99.9855
337.4357,99.9855
337.4557,53.3256
337.4757,38.4258
337.4957,38.4258
337.5157,0
337.5357,99.9855
337.5557,99.9855
337.5757,99.9855
337.5957,99.9855
337.6157,99.9855
337.6357,99.9855
337.6557,99.9855
337.6757,99.9855
337.6957,99.9855
337.7157,99.9855
337.7357,99.9855
337.7557,99.9855
337.7757,51.3651
337.7957,38.4258
337.8157,0
337.8357,0
337.8557,99.9855
337.8757,99.9855
337.8957,99.9855
337.9157,99.9855
337.9357,99.9855
337.9557,99.9855
337.9757,99.9855
337.9957,99.9855
338.0157,99.9855
338.0357,99.9855
338.0557,99.9855
338.0757,99.9855
338.0957,40.3863
338.1157,38.4258
338.1357,38.4258
338.1557,0
338.1757,99.9855
338.1957,99.9855
338.2157,99.9855
338.2357,99.9855
338.2557,99.9855
338.2757,99.9855
338.2957,99.9855
338.3157,99.9855
338.3357,99.9855
338.3557,99.9855
338.3757,99.9855
338.3957,18.8208
338.4157,18.8208
338.4357,94.8882
338.4557,0
338.4757,0
338.4957,99.9855
338.5157,99.9855
338.5357,99.9855
338.5557,99.9855
338.5757,99.9855
338.5957,99.9855
338.6157,99.9855
338.6357,99.9855
338.6557,99.9855
338.6757,99.9855
338.6957,99.9855
338.7147,15.684
338.7347,15.684
338.7547,94.8882
338.7757,0
338.7947,99.9855
338.8147,99.9855
338.8347,99.9855
338.8547,99.9855
338.8757,99.9855
338.8947,99.9855
338.9147,99.9855
338.9347,99.9855
338.9547,99.9855
338.9757,99.9855
338.9947,99.9855
339.0147,99.9855
339.0347,28.6233
339.0547,28.6233
339.0747,94.8882
339.0947,0
339.1147,0
339.1347,99.9855
339.1547,99.9855
339.1747,99.9855
339.1947,99.9855
339.2147,99.9855
339.2347,99.9855
339.2547,99.9855
339.2747,99.9855
339.2947,99.9855
339.3147,99.9855
339.3347,99.9855
339.3547,40.3863
339.3747,40.3863
339.3947,94.8882
339.4147,0
339.4347,99.9855
339.4547,99.9855
339.4747,99.9855
339.4947,99.9855
339.5147,99.9855
339.5347,99.9855
339.5547,99.9855
339.5747,99.9855
339.5947,99.9855
339.6147,99.9855
339.6347,99.9855
339.6547,99.9855
339.6747,46.6599
339.6947,94.8882
339.7147,94.8882
339.7347,0
339.7547,99.9855
339.7747,99.9855
339.7947,99.9855
339.8147,99.9855
339.8347,99.9855
339.8547,99.9855
339.8747,99.9855
339.8947,99.9855
339.9147,99.9855
339.9347,99.9855
339.9547,99.9855
339.9747,99.9855
339.9947,47.4441
340.0147,47.4441
340.0347,94.8882
340.0547,0
340.0747,0
340.0947,99.9855
340.1147,99.9855
340.1347,99.9855
340.1547,99.9855
340.1747,99.9855
340.1947,99.9855
340.2137,99.9855
340.2337,99.9855
340.2537,99.9855
340.2747,99.9855
340.2937,99.9855
340.3137,99.9855
340.3337,52.1493
340.3537,38.4258
340.3737,38.4258
340.3937,0
340.4137,99.9855
340.4337,99.9855
340.4537,99.9855
340.4737,99.9855
340.4937,99.9855
340.5137,99.9855
340.5337,99.9855
340.5537,99.9855
340.5737,99.9855
340.5937,99.9855
340.6137,99.9855
340.6337,64.6965
340.6537,64.6965
340.6737,38.4258
340.6937,38.4258
340.7137,0
340.7337,99.9855
340.7537,99.9855
340.7737,99.9855
340.7937,99.9855
340.8137,99.9855
