time,AccPedal
15.68709,0
15.70709,0
15.72709,0
15.74709,0
15.76709,0
15.78709,0
15.80709,0
15.82709,0
15.84709,0
15.86709,0
15.88709,0
15.90709,0
15.92709,0
15.94709,0
15.96709,0
15.98709,0
16.00709,0
16.02709,0
16.04709,0
16.06709,0
16.08709,0
16.10709,0
16.12709,0
16.14709,0
16.16709,0
16.18709,0
16.20709,0
16.22709,0
16.24709,0
16.26709,0
16.28709,0
16.30709,0
16.32709,0
16.34709,0
16.36709,0
16.38709,0
16.40709,0
16.42709,0
16.44709,0
16.46709,0
16.48709,0
16.50709,0
16.52709,0
16.54709,0
16.56709,0
16.58709,2.4
16.60709,3.6
16.62709,4
16.64709,4.4
16.66709,4.4
16.68709,4.8
16.70709,5.6
16.72709,5.6
16.74709,5.6
16.76709,6
16.78709,6
16.80709,6.4
16.82609,6.8
16.84709,6.8
16.86709,6.8
16.88609,7.6
16.90609,7.6
16.92609,8
16.94609,8
16.96609,8
16.98609,8
17.00609,8
17.02609,8
17.04609,8
17.06609,8
17.08609,7.6
17.10609,7.6
17.12609,7.6
17.14609,7.6
17.16609,7.6
17.18609,7.6
17.20609,7.6
17.22609,7.6
17.24609,7.6
17.26609,7.6
17.28609,7.6
17.30609,7.6
17.32609,7.6
17.34609,7.6
17.36609,8
17.38609,8
17.40609,8
17.42609,8
17.44609,8
17.46609,8
17.48609,7.2
17.50609,5.2
17.52609,2
17.54609,0
17.56609,0
17.58609,0
17.60609,0
17.62609,0
17.64609,0
17.66609,0
17.68609,0
17.70609,0
17.72609,0
17.74609,0
17.76609,0
17.78609,0
17.80609,0
17.82609,0
17.84609,0
17.86609,0
17.88609,0
17.90609,0
17.92609,0
17.94609,0
17.96609,0
17.98609,0
18.00609,0
18.02609,0
18.04609,0
18.06609,0
18.08609,0
18.10609,0
18.12609,0
18.14609,0
18.16609,0
18.18609,0
18.20609,0
18.22609,0
18.24609,0
18.26609,0
18.28609,0
18.30609,0
18.32609,0
18.34609,0
18.36509,0
18.38509,0
18.40509,0
18.42509,0
18.44509,0
18.46509,0
18.48509,0
18.50509,0
18.52509,0
18.54509,0
18.56509,0
18.58509,0
18.60509,0
18.62509,0
18.64509,0
18.66509,0
18.68509,0
18.70509,0
18.72509,0
18.74509,0
18.76509,0
18.78509,0
18.80509,0
18.82509,0
18.84509,0
18.86509,0
18.88509,0
18.90509,0
18.92509,0
18.94509,0
18.96509,0
18.98509,0
19.00509,0
19.02509,0
19.04509,0
19.06509,0
19.08509,0
19.10509,0
19.12509,0
19.14509,0
19.16509,0
19.18509,0
19.20509,0
19.22509,0
19.24509,0.4
19.26509,0.4
19.28509,1.6
19.30509,1.6
19.32509,1.6
19.34509,1.6
19.36509,1.6
19.38509,2
19.40509,2
19.42509,2
19.44509,2.4
19.46509,2.4
19.48509,2.8
19.50509,2.8
19.52509,3.2
19.54509,3.2
19.56509,3.2
19.58509,4
19.60509,4
19.62509,4
19.64509,4.4
19.66509,4.4
19.68409,4.4
19.70409,4.4
19.72409,4.4
19.74409,4.4
19.76409,4.4
