time,DegOfDev
14.93881,11.43
14.95881,11.28
14.97881,11.1
14.99881,10.94
15.01881,10.81
15.03881,10.61
15.05881,10.47
15.07881,10.32
15.09881,10.18
15.11881,10.03
15.13881,9.88
15.15881,9.8
15.17781,9.67
15.19781,9.49
15.21781,9.31
15.23881,9.26
15.25781,9.24
15.27781,9.03
15.29781,8.8
15.31781,8.7
15.33781,8.49
15.35781,8.34
15.37781,8.21
15.39781,8
15.41781,7.77
15.43781,7.48
15.45781,7.21
15.47781,6.97
15.49781,6.79
15.51781,6.53
15.53781,6.32
15.55781,6.12
15.57781,5.87
15.59781,5.64
15.61781,5.53
15.63781,5.42
15.65781,5.27
15.67781,5.22
15.69781,5.08
15.71781,4.97
15.73781,4.89
15.75781,4.72
15.77781,4.72
15.79781,4.55
15.81781,4.35
15.83781,4.14
15.85781,4.08
15.87781,3.92
15.89781,3.78
15.91781,3.71
15.93781,3.58
15.95781,3.46
15.97781,3.33
15.99781,3.19
16.01781,3.13
16.03781,3.18
16.05781,3.2
16.07781,3.12
16.09781,3.06
16.11781,3.08
16.13781,3.03
16.15781,3.03
16.17781,3
16.19781,2.98
16.21781,2.87
16.23781,2.78
16.25781,2.66
16.27781,2.63
16.29781,2.54
16.31781,2.52
16.33781,2.4
16.35781,2.47
16.37781,2.49
16.39781,2.4
16.41781,2.35
16.43781,2.35
16.45781,2.22
16.47781,2.23
16.49781,2.22
16.51781,2.2
16.53781,2.19
16.55781,2.21
16.57781,2.19
16.59781,2.17
16.61781,2.11
16.63781,2.06
16.65781,2.03
16.67781,2.05
16.69781,2.02
16.71781,2.09
16.73781,2.17
16.75781,2.12
16.77781,2.09
16.79781,2.17
16.81781,2.12
16.83781,2.13
16.85781,2.16
16.87781,2.13
16.89781,2.05
16.91781,2
16.93781,1.9
16.95781,1.85
16.97781,1.85
16.99781,1.85
17.01781,1.93
17.03781,1.86
17.05781,1.85
17.07781,1.87
17.09781,1.88
17.11781,1.87
17.13781,1.9
17.15781,1.89
17.17781,1.85
17.19781,1.87
17.21781,1.85
17.23781,1.82
17.25781,1.73
17.27781,1.68
17.29781,1.68
17.31781,1.6
17.33781,1.63
17.35781,1.68
17.37781,1.68
17.39781,1.68
17.41781,1.68
17.43781,1.68
17.45781,1.68
17.47781,1.76
17.49781,1.82
17.51781,1.82
17.53781,1.7
17.55781,1.68
17.57781,1.68
17.59781,1.68
17.61781,1.68
17.63781,1.68
17.65781,1.68
17.67781,1.68
17.69781,1.61
17.71781,1.67
17.73781,1.58
17.75781,1.63
17.77781,1.61
17.79781,1.54
17.81781,1.51
17.83781,1.51
17.85781,1.51
17.87781,1.6
17.89781,1.52
17.91781,1.51
17.93781,1.54
17.95781,1.51
17.97781,1.55
17.99781,1.51
18.01781,1.64
18.03781,1.57
18.05781,1.52
18.07781,1.64
18.09781,1.61
18.11781,1.67
18.13781,1.63
18.15781,1.56
18.17781,1.54
18.19781,1.52
18.21781,1.51
18.23781,1.45
18.25781,1.5
18.27781,1.51
18.29781,1.56
18.31781,1.43
18.33781,1.48
18.35781,1.51
18.37781,1.51
18.39781,1.51
18.41781,1.51
18.43781,1.51
18.45781,1.51
18.47781,1.51
18.49781,1.41
18.51781,1.44
18.53781,1.46
18.55781,1.49
18.57781,1.45
18.59781,1.43
18.61781,1.35
18.63781,1.37
18.65781,1.48
18.67781,1.5
18.69781,1.42
18.71781,1.42
18.73781,1.49
18.75781,1.45
18.77781,1.48
18.79781,1.43
18.81781,1.44
18.83781,1.37
18.85781,1.34
18.87781,1.39
18.89781,1.36
18.91781,1.34
18.93781,1.41
18.95781,1.38
18.97781,1.35
18.99781,1.34
19.01781,1.41
19.03781,1.38
19.05781,1.43
19.07781,1.38
19.09781,1.35
19.11781,1.34
19.13781,1.34
19.15781,1.37
19.17781,1.34
19.19781,1.34
19.21781,1.32
19.23781,1.34
19.25781,1.34
19.27781,1.34
19.29781,1.34
19.31781,1.34
19.33781,1.34
19.35781,1.34
19.37781,1.37
19.39781,1.34
19.41781,1.34
19.43781,1.41
19.45781,1.34
19.47781,1.34
19.49781,1.34
19.51781,1.34
19.53781,1.34
19.55781,1.34
19.57781,1.34
19.59781,1.26
19.61781,1.3
19.63781,1.38
19.65781,1.34
19.67781,1.26
19.69781,1.36
19.71781,1.38
19.73781,1.34
19.75781,1.35
19.77781,1.34
19.79781,1.34
19.81781,1.35
19.83781,1.34
19.85781,1.34
19.87781,1.38
19.89781,1.3
19.91781,1.33
19.93781,1.34
19.95781,1.25
19.97781,1.26
19.99781,1.24
20.01781,1.22
20.03781,1.32
20.05781,1.34
20.07781,1.34
20.09781,1.34
20.11781,1.4
20.13781,1.34
20.15781,1.34
20.17781,1.37
20.19781,1.34
20.21781,1.4
20.23781,1.35
20.25781,1.33
20.27781,1.34
20.29781,1.34
20.31781,1.34
20.33781,1.34
20.35781,1.33
20.37781,1.34
20.39781,1.24
20.41781,1.29
20.43781,1.34
20.45781,1.33
20.47781,1.36
20.49781,1.4
20.51781,1.34
20.53781,1.34
20.55781,1.34
20.57781,1.34
20.59781,1.36
20.61781,1.34
20.63781,1.4
20.65781,1.37
20.67781,1.32
20.69781,1.33
20.71781,1.37
20.73781,1.36
20.75781,1.31
20.77781,1.39
20.79781,1.38
20.81781,1.46
20.83781,1.5
20.85781,1.37
20.87781,1.38
20.89781,1.39
20.91781,1.38
20.93781,1.4
20.95781,1.36
20.97781,1.34
20.99781,1.42
21.01781,1.39
21.03781,1.42
21.05781,1.46
21.07781,1.5
21.09781,1.5
21.11781,1.47
21.13781,1.51
21.15781,1.52
21.17781,1.51
21.19781,1.51
21.21781,1.51
21.23781,1.49
21.25781,1.51
21.27781,1.51
21.29781,1.48
21.31781,1.45
21.33781,1.44
21.35781,1.52
21.37781,1.42
21.39781,1.4
21.41781,1.46
21.43781,1.51
21.45781,1.45
21.47781,1.51
21.49781,1.51
21.51781,1.51
21.53781,1.51
21.55781,1.51
21.57781,1.5
21.59781,1.59
21.61781,1.54
21.63781,1.51
21.65781,1.56
21.67781,1.48
21.69781,1.52
21.71781,1.52
21.73781,1.6
21.75781,1.67
21.77781,1.55
21.79781,1.55
21.81781,1.62
21.83781,1.63
21.85781,1.63
21.87781,1.5
21.89781,1.55
21.91781,1.66
21.93781,1.62
21.95781,1.62
21.97781,1.63
21.99781,1.68
22.01781,1.61
22.03781,1.64
22.05781,1.7
22.07781,1.67
22.09781,1.66
22.11781,1.68
22.13781,1.66
22.15781,1.62
22.17781,1.68
22.19781,1.68
22.21781,1.72
22.23781,1.7
22.25781,1.68
22.27781,1.69
22.29781,1.64
22.31781,1.67
22.33781,1.68
22.35781,1.68
22.37781,1.68
22.39781,1.76
22.41781,1.68
22.43781,1.73
22.45781,1.81
22.47781,1.76
22.49781,1.8
22.51781,1.82
22.53781,1.85
22.55781,1.87
22.57781,1.85
22.59781,1.78
22.61781,1.83
22.63781,1.82
22.65781,1.79
22.67781,1.72
22.69781,1.79
22.71781,1.76
22.73781,1.79
22.75781,1.73
22.77781,1.74
22.79781,1.78
22.81781,1.81
22.83781,1.8
22.85781,1.7
22.87781,1.71
22.89781,1.7
22.91781,1.76
22.93781,1.71
22.95781,1.68
22.97781,1.74
22.99781,1.7
23.01781,1.62
23.03781,1.66
23.05781,1.77
23.07781,1.69
23.09781,1.64
23.11781,1.53
23.13781,1.51
23.15781,1.5
23.17781,1.42
23.19781,1.37
23.21781,1.26
23.23781,1.19
23.25781,1.06
23.27781,1.05
23.29781,0.95
23.31781,0.85
23.33781,0.75
23.35781,0.69
23.37781,0.53
23.39781,0.51
23.41781,0.5
23.43781,0.42
23.45781,0.26
23.47781,0.17
23.49781,0.16
23.51781,0.12
23.53781,0.01
23.55781,0.1
23.57781,0.16
23.59781,0.23
23.61781,0.36
23.63781,0.49
23.65781,0.71
23.67781,0.8
23.69781,0.88
23.71781,0.93
23.73781,1.12
23.75781,1.21
23.77781,1.3
23.79781,1.52
23.81781,1.65
23.83781,1.73
23.85781,1.84
23.87781,2.01
23.89781,2.15
23.91781,2.35
23.93781,2.62
23.95781,2.82
23.97781,2.97
23.99781,3.18
24.01781,3.42
24.03781,3.5
24.05781,3.59
24.07781,3.76
24.09781,3.85
24.11781,3.98
24.13781,4.08
24.15781,4.19
24.17781,4.29
24.19781,4.44
24.21781,4.67
24.23781,4.87
24.25781,5.13
24.27781,5.36
24.29781,5.48
24.31781,5.62
24.33781,5.88
24.35781,5.97
24.37781,6.07
24.39781,6.32
24.41781,6.54
24.43781,6.73
24.45781,6.95
24.47781,7.18
24.49781,7.41
24.51781,7.79
24.53781,8.03
24.55781,8.41
24.57781,8.73
24.59781,9.01
24.61781,9.23
24.63781,9.47
24.65781,9.67
24.67781,9.98
24.69781,10.12
24.71781,10.22
24.73781,10.41
24.75781,10.57
24.77781,10.74
24.79781,11
24.81781,11.3
24.83781,11.5
24.85781,11.79
24.87781,11.99
24.89781,12.18
24.91781,12.3
24.93781,12.43
24.95781,12.54
24.97781,12.66
24.99781,12.77
25.01781,12.82
25.03781,12.93
25.05781,12.99
25.07781,13.14
25.09781,13.16
25.11781,13.26
25.13781,13.32
25.15781,13.39
25.17781,13.34
25.19781,13.42
25.21781,13.34
25.23781,13.34
25.25781,13.33
25.27781,13.26
25.29781,13.21
25.31781,13.08
25.33781,13
25.35781,12.93
25.37781,12.83
25.39781,12.82
25.41781,12.7
25.43781,12.51
25.45781,12.68
25.47781,12.74
25.49781,12.66
25.51781,12.65
25.53781,12.78
25.55781,12.76
25.57781,12.67
25.59781,12.65
25.61781,12.56
25.63781,12.43
25.65781,12.29
25.67781,12.23
25.69781,12.13
25.71781,12.01
25.73781,11.92
25.75781,11.73
25.77781,11.65
25.79781,11.73
25.81781,11.64
25.83781,11.64
25.85781,11.54
25.87781,11.47
25.89781,11.36
25.91781,11.26
25.93781,11.12
25.95781,10.99
25.97781,10.84
25.99781,10.73
26.01781,10.49
26.03781,10.13
26.05781,9.91
26.07781,9.73
26.09781,9.4
26.11781,9.03
26.13781,8.76
26.15881,8.45
26.17881,8.12
26.19881,7.84
26.21881,7.45
26.23881,7.12
26.25881,6.82
26.27881,6.47
26.29881,6.24
26.31881,6
26.33881,5.81
26.35881,5.61
26.37881,5.38
26.39881,5.07
26.41881,4.67
26.43881,4.49
26.45881,4.26
26.47881,4
26.49881,3.73
26.51881,3.43
26.53881,3.14
26.55881,2.88
26.57881,2.7
26.59881,2.47
26.61881,2.37
26.63881,2.26
26.65881,2.14
26.67881,1.91
26.69881,1.74
26.71881,1.56
26.73881,1.41
26.75881,1.28
26.77881,1.19
26.79881,1.07
26.81881,0.88
26.83881,0.71
26.85881,0.54
26.87781,0.42
26.89781,0.29
26.91881,0.17
26.93881,0.16
26.95881,0.01
26.97881,0.14
26.99881,0.16
27.01781,0.25
27.03781,0.24
27.05881,0.21
27.07781,0.23
27.09781,0.26
