time,DegOfDev
17.14059,0.81
17.16059,0.73
17.18059,0.67
17.20059,0.67
17.22059,0.67
17.24059,0.67
17.26059,0.67
17.28059,0.67
17.30059,0.67
17.32059,0.71
17.34059,0.71
17.36059,0.72
17.38059,0.83
17.40059,0.82
17.42059,0.83
17.44059,0.81
17.46059,0.67
17.48059,0.67
17.50059,0.67
17.52059,0.67
17.54059,0.67
17.56059,0.8
17.58059,0.75
17.60059,0.69
17.62059,0.67
17.64059,0.7
17.66059,0.76
17.68059,0.69
17.70059,0.67
17.72059,0.67
17.74059,0.67
17.76059,0.67
17.78059,0.7
17.80059,0.8
17.82059,0.81
17.84059,0.83
17.86059,0.83
17.88059,0.82
17.90059,0.77
17.92059,0.68
17.94059,0.68
17.96059,0.67
17.98059,0.62
18.00059,0.6
18.02059,0.64
18.04059,0.67
18.06059,0.67
18.08059,0.67
18.10059,0.71
18.12059,0.77
18.14059,0.77
18.16059,0.74
18.18059,0.67
18.20059,0.67
18.22059,0.67
18.24059,0.67
18.26059,0.58
18.28059,0.63
18.30059,0.53
18.32059,0.48
18.34059,0.35
18.36059,0.31
18.38059,0.35
18.40059,0.33
18.42059,0.33
18.44059,0.32
18.46059,0.44
18.48059,0.5
18.50059,0.62
18.52059,0.63
18.54059,0.62
18.56059,0.54
18.58059,0.61
18.60059,0.59
18.62059,0.6
18.64059,0.63
18.66059,0.6
18.68059,0.6
18.70059,0.6
18.72059,0.59
18.74059,0.57
18.76059,0.6
18.78059,0.67
18.80059,0.67
18.82059,0.65
18.84059,0.69
18.86059,0.73
18.88059,0.81
18.90059,0.84
18.92059,0.89
18.94059,0.96
18.96059,1.06
18.98059,1.12
19.00059,1.12
19.02059,1.08
19.04059,1.06
19.06059,1
19.08059,1
19.10059,1
19.12059,0.93
19.14059,1
19.16059,1
19.18059,1.21
19.20059,1.22
19.22059,1.43
19.24059,1.44
19.26059,1.56
19.28059,1.7
19.30059,1.8
19.32059,1.9
19.34059,2.02
19.36059,2.15
19.38059,2.19
19.40059,2.27
19.42059,2.49
19.44059,2.58
19.46059,2.72
19.48059,2.88
19.50059,3
19.52059,3.23
19.54059,3.34
19.56059,3.36
19.58059,3.42
19.60059,3.62
19.62059,3.59
19.64059,3.68
19.66059,3.82
19.68059,3.98
19.70059,4.07
19.72059,4.19
19.74059,4.34
19.76059,4.52
19.78059,4.73
19.80059,4.79
19.82059,5.05
19.84059,5.24
19.86059,5.44
19.88059,5.61
19.90059,5.84
19.92059,6.06
19.94059,6.29
19.96059,6.5
19.98059,6.64
20.00059,6.86
20.02059,7.07
20.04059,7.33
20.06059,7.45
20.08059,7.51
20.10059,7.71
20.12059,7.8
20.14059,8
20.16059,8.11
20.18059,8.32
20.20059,8.53
20.22059,8.62
20.24059,8.74
20.26059,8.83
20.28059,8.98
20.30059,9.01
20.32059,9.13
20.34059,9.31
20.36059,9.42
20.38059,9.51
20.40059,9.59
20.42059,9.68
20.44059,9.76
20.46059,9.83
