time,RevoPMin
295.1226,1455
295.1426,1455
295.1626,1453
295.1826,1457
295.2026,1457
295.2226,1460
295.2426,1456
295.2626,1458
295.2826,1455
295.3026,1457
295.3226,1459
295.3426,1464
295.3626,1460
295.3826,1458
295.4026,1455
295.4226,1462
295.4426,1465
295.4626,1463
295.4826,1461
295.5026,1466
295.5226,1467
295.5426,1467
295.5626,1465
295.5826,1467
295.6026,1469
295.6226,1469
295.6426,1468
295.6626,1470
295.6826,1470
295.7026,1468
295.7226,1469
295.7426,1470
295.7626,1471
295.7826,1472
295.8026,1470
295.8226,1471
295.8426,1473
295.8626,1473
295.8826,1474
295.9026,1475
295.9226,1475
295.9426,1474
295.9626,1473
295.9826,1476
296.0026,1478
296.0226,1477
296.0426,1478
296.0626,1474
296.0826,1475
296.1026,1474
296.1226,1478
296.1426,1477
296.1626,1479
296.1826,1476
296.2026,1476
296.2226,1474
296.2426,1478
296.2626,1479
296.2826,1481
296.3026,1476
296.3226,1476
296.3426,1474
296.3626,1477
296.3826,1475
296.4026,1478
296.4226,1477
296.4426,1475
296.4626,1471
296.4826,1474
296.5026,1474
296.5226,1478
296.5426,1476
296.5616,1476
296.5816,1474
296.6016,1474
296.6216,1472
296.6426,1478
296.6616,1480
296.6816,1481
296.7016,1478
296.7216,1476
296.7426,1474
296.7616,1477
296.7816,1479
296.8016,1480
296.8216,1478
296.8416,1475
296.8616,1470
296.8816,1471
296.9016,1473
296.9216,1475
296.9416,1474
296.9616,1473
296.9816,1472
297.0016,1473
297.0216,1473
297.0416,1473
297.0616,1474
297.0816,1474
297.1016,1471
297.1216,1470
297.1416,1471
297.1616,1473
297.1816,1473
297.2016,1473
297.2216,1474
297.2416,1473
297.2616,1473
297.2816,1470
297.3016,1472
297.3216,1471
297.3416,1479
297.3616,1484
297.3816,1480
297.4016,1472
297.4216,1472
297.4416,1468
297.4616,1472
297.4816,1474
297.5016,1475
297.5216,1470
297.5416,1467
297.5616,1462
297.5816,1465
297.6016,1465
297.6216,1469
297.6416,1470
297.6616,1470
297.6816,1466
297.7016,1468
297.7216,1467
297.7416,1468
297.7616,1468
297.7816,1470
297.8016,1469
297.8216,1469
297.8416,1467
297.8616,1467
297.8816,1468
297.9016,1470
297.9216,1469
297.9416,1470
297.9616,1471
297.9816,1472
298.0016,1472
298.0216,1471
298.0416,1470
298.0616,1469
298.0816,1468
298.1016,1470
298.1216,1473
298.1416,1473
298.1616,1471
298.1816,1469
298.2006,1468
298.2206,1469
298.2406,1470
298.2606,1469
298.2806,1470
298.3006,1470
298.3206,1472
298.3406,1465
298.3606,1465
298.3806,1466
298.4006,1468
298.4206,1467
298.4406,1471
298.4606,1468
298.4806,1467
298.5006,1462
298.5206,1464
298.5406,1464
298.5606,1466
298.5806,1464
298.6006,1462
298.6206,1460
298.6406,1461
298.6606,1458
298.6806,1459
298.7006,1459
298.7206,1461
298.7406,1459
298.7606,1455
298.7806,1454
298.8006,1458
298.8206,1457
298.8406,1456
298.8606,1453
298.8806,1449
298.9006,1446
298.9206,1448
298.9406,1448
298.9606,1448
298.9806,1445
299.0006,1441
299.0206,1437
299.0406,1434
299.0606,1437
299.0806,1436
299.1006,1437
299.1206,1436
299.1406,1433
299.1606,1427
299.1806,1429
299.2006,1426
299.2206,1425
299.2406,1423
299.2606,1421
299.2806,1417
299.3006,1413
299.3206,1410
299.3406,1410
299.3606,1408
299.3806,1406
299.4006,1405
299.4206,1399
299.4406,1396
299.4606,1397
299.4806,1400
299.5006,1394
299.5206,1392
299.5406,1391
299.5596,1389
299.5796,1386
299.6006,1385
299.6196,1382
299.6406,1377
299.6606,1375
299.6806,1371
299.7006,1372
299.7196,1363
299.7396,1360
299.7596,1357
299.7806,1356
299.8006,1351
299.8206,1339
299.8406,1336
299.8596,1337
299.8796,1342
299.8996,1341
299.9196,1342
299.9396,1333
299.9596,1332
299.9796,1328
299.9996,1329
300.0196,1320
300.0396,1306
300.0596,1274
300.0796,1236
300.0996,1218
300.1196,1182
300.1396,1162
300.1596,1126
300.1796,1107
